ID,Start Time,End Time,# Observations
1,1994-02-07 09:49:12,1994-12-15 09:47:53,37
2,1994-08-21 21:43:12,1995-08-05 09:31:56,53
3,1994-09-07 21:45:55,1995-09-06 09:30:27,61
4,1994-10-21 09:43:32,1995-10-13 10:35:31,63
5,1994-12-13 21:39:42,1995-11-17 10:35:24,67
6,1994-12-13 21:39:42,1995-11-17 10:35:24,67
7,1994-12-13 21:39:42,1995-11-25 09:27:51,68
8,1994-12-13 21:39:42,1995-12-03 10:32:35,69
9,1995-02-19 10:31:07,1996-02-05 21:43:27,72
10,1995-02-19 10:31:07,1996-02-05 21:43:27,72
11,1995-03-14 09:38:20,1996-02-29 10:35:26,72
12,1995-04-01 10:32:23,1996-03-17 10:32:30,76
13,1995-04-30 21:43:17,1996-04-17 09:37:31,88
14,1995-05-06 10:32:27,1996-05-01 21:40:31,93
15,1995-05-22 10:29:38,1996-05-06 10:29:43,92
16,1995-06-10 10:32:33,1996-05-26 10:32:33,91
17,1995-06-20 21:40:28,1996-06-11 10:29:40,95
18,1995-06-26 10:29:39,1996-06-24 21:43:22,95
19,1995-06-26 10:29:39,1996-06-24 21:43:22,95
20,1995-07-16 10:32:37,1996-06-24 21:43:22,87
21,1995-07-20 09:32:40,1996-06-24 21:43:22,86
22,1995-08-01 10:29:46,1996-07-22 09:42:50,86
23,1995-08-01 10:29:46,1996-07-22 09:42:50,86
24,1995-08-03 10:35:28,1996-07-22 09:42:50,85
25,1995-08-03 10:35:28,1996-07-22 09:42:50,85
26,1995-08-05 09:31:56,1996-07-22 09:42:50,83
27,1995-08-29 21:40:28,1996-08-20 10:29:35,80
28,1995-08-29 21:40:28,1996-08-23 10:35:21,82
29,1995-09-04 10:29:39,1996-08-23 10:35:21,80
30,1995-09-06 09:30:27,1996-09-02 21:43:19,81
31,1995-09-08 10:35:26,1996-09-02 21:43:19,80
32,1995-09-08 10:35:26,1996-09-02 21:43:19,80
33,1995-09-18 21:43:10,1996-09-08 10:32:31,81
34,1995-09-23 10:32:34,1996-09-08 10:32:31,79
35,1995-10-03 21:40:31,1996-09-08 10:32:31,78
36,1995-10-12 10:35:24,1996-09-27 10:35:24,75
37,1995-10-12 10:35:24,1996-09-27 10:35:24,75
38,1995-10-24 09:27:57,1996-10-13 10:32:31,74
39,1995-10-24 09:27:57,1996-10-17 09:53:39,75
40,1995-10-29 10:32:37,1996-10-26 21:46:13,79
41,1995-11-10 21:45:57,1996-11-01 10:35:24,80
42,1995-11-10 21:45:57,1996-11-01 10:35:24,80
43,1995-11-17 10:35:24,1996-11-01 10:35:24,74
44,1995-12-18 10:29:42,1996-12-06 10:35:17,74
45,1995-12-18 10:29:42,1996-12-06 10:35:17,74
46,1996-01-01 21:43:25,1996-12-29 09:50:57,71
47,1996-01-28 09:32:16,1997-01-14 09:51:42,73
48,1996-02-27 10:29:41,1997-02-11 10:29:26,76
49,1996-02-27 10:29:41,1997-02-11 10:29:26,76
50,1996-03-16 09:35:30,1997-03-11 21:40:20,77
51,1996-04-01 10:29:39,1997-03-21 10:35:20,71
52,1996-04-14 21:43:08,1997-04-06 10:32:28,71
53,1996-04-30 21:40:32,1997-04-25 10:35:23,65
54,1996-05-06 10:29:43,1997-04-25 10:35:23,63
55,1996-05-26 09:45:58,1997-04-25 10:35:23,62
56,1996-05-26 09:45:58,1997-05-20 21:40:20,64
57,1996-05-26 09:45:58,1997-05-21 21:40:25,65
58,1996-05-26 09:45:58,1997-05-21 21:40:25,65
59,1996-06-11 09:46:51,1997-06-07 09:57:14,65
60,1996-06-11 09:46:51,1997-06-09 21:43:19,67
61,1996-06-23 21:43:08,1997-06-15 10:32:31,65
62,1996-06-23 21:43:08,1997-06-15 10:32:31,65
63,1996-06-24 21:43:07,1997-06-15 10:32:31,63
64,1996-06-24 21:43:07,1997-06-15 10:32:31,63
65,1996-06-24 21:43:07,1997-06-15 10:32:31,63
