ID,Start Time,End Time,# Observations
1,1992-10-12 07:44:10,1993-09-29 07:44:56,34
2,1992-10-28 07:44:02,1993-10-15 07:44:51,34
3,1992-11-13 07:43:42,1993-11-08 08:30:26,33
4,1992-11-29 07:43:47,1993-11-24 08:27:31,33
5,1992-12-15 07:43:58,1993-12-02 07:44:33,32
6,1992-12-28 08:30:24,1993-12-18 07:44:26,32
7,1993-01-16 07:44:18,1993-12-18 07:44:26,30
8,1993-02-01 07:44:29,1994-01-19 07:43:57,30
9,1993-02-17 07:44:37,1994-01-19 07:43:57,29
10,1993-04-06 07:44:55,1994-03-24 07:43:09,29
11,1993-04-22 07:45:04,1994-04-09 07:42:51,29
12,1993-05-08 07:45:07,1994-04-25 07:42:33,29
13,1993-05-24 07:45:10,1994-05-16 20:04:40,28
14,1993-06-09 07:45:12,1994-05-31 08:26:22,29
15,1993-06-09 07:45:12,1994-05-31 08:26:22,29
16,1993-06-17 20:09:20,1994-06-12 07:41:39,29
17,1993-06-25 07:45:07,1994-06-17 08:29:26,28
18,1993-07-11 07:45:04,1994-06-28 07:41:17,27
19,1993-07-27 07:45:03,1994-07-14 07:40:51,27
20,1993-08-12 07:45:04,1994-07-30 07:40:23,27
21,1993-08-30 08:30:33,1994-07-30 07:40:23,26
22,1993-08-30 08:30:33,1994-07-30 07:40:23,26
23,1993-09-13 07:45:00,1994-08-31 07:39:35,26
24,1993-09-29 07:44:56,1994-09-16 07:39:10,25
25,1993-10-15 07:44:51,1994-10-09 08:26:10,26
26,1993-11-08 08:30:26,1994-10-18 07:38:14,26
27,1993-11-08 08:30:26,1994-11-03 07:37:39,27
28,1993-11-20 20:06:32,1994-11-03 07:37:39,26
29,1993-11-24 08:27:31,1994-11-15 08:26:38,26
30,1993-12-02 07:44:33,1994-11-15 08:26:38,25
31,1993-12-18 07:44:26,1994-12-05 07:36:37,25
32,1993-12-18 07:44:26,1994-12-05 07:36:37,25
33,1994-01-19 07:43:57,1994-12-21 07:36:07,25
34,1994-01-19 07:43:57,1994-12-21 07:36:07,25
35,1994-01-19 07:43:57,1995-01-06 07:35:33,26
36,1994-02-20 07:43:37,1995-01-06 07:35:33,25
37,1994-02-20 07:43:37,1995-02-07 07:34:20,26
38,1994-03-08 07:43:23,1995-02-23 07:33:42,26
39,1994-03-24 07:43:09,1995-03-11 20:04:23,27
40,1994-04-09 07:42:51,1995-03-27 07:32:23,27
41,1994-04-25 07:42:33,1995-04-12 07:31:44,26
42,1994-05-11 07:42:14,1995-04-28 07:31:02,26
43,1994-05-11 07:42:14,1995-04-28 07:31:02,26
44,1994-05-16 20:04:40,1995-04-28 07:31:02,25
45,1994-05-16 20:04:40,1995-04-28 07:31:02,25
46,1994-05-27 07:41:58,1995-05-14 07:30:18,25
47,1994-06-12 07:41:39,1995-05-30 07:29:35,25
48,1994-06-28 07:41:17,1995-06-15 08:30:45,25
49,1994-06-28 07:41:17,1995-06-15 08:30:45,25
50,1994-06-28 07:41:17,1995-06-15 08:30:45,25
51,1994-07-14 07:40:51,1995-07-01 07:28:08,25
52,1994-07-14 07:40:51,1995-07-01 07:28:08,25
53,1994-07-30 07:40:23,1995-07-20 08:30:41,26
54,1994-08-31 07:39:35,1995-08-05 08:27:49,27
55,1994-08-31 07:39:35,1995-08-24 08:30:40,29
56,1994-09-16 07:39:10,1995-09-09 08:27:45,30
57,1994-09-16 07:39:10,1995-09-09 08:27:45,30
58,1994-10-02 07:38:44,1995-09-28 08:30:41,30
59,1994-10-18 07:38:14,1995-10-14 08:27:50,29
60,1994-11-15 08:26:38,1995-11-06 07:22:10,28
61,1994-12-05 07:36:37,1995-11-14 20:06:49,28
62,1994-12-05 07:36:37,1995-11-14 20:06:49,28
63,1994-12-05 07:36:37,1995-11-14 20:06:49,28
64,1994-12-21 07:36:07,1995-12-08 07:23:12,28
65,1995-02-07 07:34:20,1996-01-11 08:30:36,30
66,1995-02-23 07:33:42,1996-02-10 07:27:45,30
67,1995-10-14 08:27:50,1996-10-07 07:41:33,28
68,1995-11-06 07:22:10,1996-10-07 07:41:33,27
69,1995-11-06 07:22:10,1996-10-23 07:42:22,28
70,1995-12-08 07:23:12,1996-11-08 07:43:08,27
71,1995-12-08 07:23:12,1996-11-24 07:43:53,28
72,1995-12-23 08:27:47,1996-11-24 07:43:53,27
73,1996-01-09 07:25:31,1996-12-26 07:45:24,26
74,1996-02-10 07:27:45,1997-01-11 07:46:10,25
75,1996-02-26 07:28:50,1997-02-12 07:47:35,25
76,1996-11-08 07:43:08,1997-10-10 07:55:46,26
77,1996-12-26 07:45:24,1997-11-27 07:56:58,26
78,1996-12-26 07:45:24,1997-12-13 07:57:23,27
79,1996-12-26 07:45:24,1997-12-13 07:57:23,27
80,1997-01-11 07:46:10,1997-12-29 07:57:45,27
81,1997-01-11 07:46:10,1997-12-29 07:57:45,27
82,1997-02-12 07:47:35,1998-01-30 07:58:28,28
83,1997-03-16 07:48:53,1998-02-15 07:58:48,28
84,1997-11-11 07:56:36,1998-10-29 08:01:32,25
85,1997-11-27 07:56:58,1998-11-14 08:01:41,25
86,1997-12-29 07:57:45,1998-12-16 08:01:35,25
87,1998-01-14 07:58:07,1999-01-01 08:01:45,26
88,1998-02-15 07:58:48,1999-02-02 08:01:45,25
89,1998-03-19 07:59:19,1999-03-11 08:30:26,27
90,1998-04-04 07:59:30,1999-03-27 08:27:34,28
91,1998-04-20 07:59:42,1999-04-15 08:30:31,29
92,1998-05-22 08:00:12,1999-05-01 08:27:37,30
93,1998-05-22 08:00:12,1999-05-09 08:01:16,31
94,1998-05-22 08:00:12,1999-05-09 08:01:16,31
95,1998-06-07 08:00:27,1999-05-25 08:00:52,32
96,1998-06-23 08:00:37,1999-06-10 08:00:37,33
97,1998-07-09 08:00:51,1999-06-26 08:00:31,33
98,1998-07-25 08:00:59,1999-07-12 08:00:23,33
99,1998-08-10 08:01:04,1999-07-28 08:00:22,33
100,1998-08-26 08:01:16,1999-08-13 08:00:17,32
