ID,Start Time,End Time,# Observations
1,1992-07-09 10:03:06,1993-06-19 09:56:20,27
2,1992-07-25 10:02:54,1993-07-16 21:43:30,28
3,1992-08-03 09:56:37,1993-07-16 21:43:30,27
4,1992-08-25 10:35:11,1993-08-13 10:02:26,27
5,1992-09-11 10:02:12,1993-08-22 09:56:14,27
6,1992-09-20 09:55:51,1993-09-07 09:56:12,27
7,1992-10-12 21:49:18,1993-09-07 09:56:12,25
8,1993-01-01 10:01:29,1993-12-28 21:47:37,25
9,1993-01-17 10:01:41,1994-01-04 10:01:35,26
10,1993-01-17 10:01:41,1994-01-04 10:01:35,26
11,1993-01-17 10:01:41,1994-01-09 21:47:38,27
12,1993-01-17 10:01:41,1994-01-15 21:47:39,29
13,1993-03-15 09:56:02,1994-01-15 21:47:39,28
14,1993-03-15 09:56:02,1994-01-20 10:01:18,29
15,1993-03-15 09:56:02,1994-01-20 10:01:18,29
16,1993-03-15 09:56:02,1994-01-30 21:47:37,31
17,1993-03-15 09:56:02,1994-01-30 21:47:37,31
18,1993-03-15 09:56:02,1994-01-30 21:47:37,31
19,1993-03-15 09:56:02,1994-02-02 21:47:37,32
20,1993-03-15 09:56:02,1994-02-02 21:47:37,32
21,1993-03-15 09:56:02,1994-02-05 21:47:38,33
22,1993-03-15 09:56:02,1994-02-05 21:47:38,33
23,1993-03-15 09:56:02,1994-02-08 21:47:38,34
24,1993-03-15 09:56:02,1994-02-08 21:47:38,34
25,1993-03-15 09:56:02,1994-02-11 21:47:37,35
26,1993-03-15 09:56:02,1994-02-11 21:47:37,35
27,1993-03-15 09:56:02,1994-02-14 21:47:37,37
28,1993-03-15 09:56:02,1994-02-14 21:47:37,37
29,1993-03-15 09:56:02,1994-02-17 21:47:36,38
30,1993-03-15 09:56:02,1994-02-17 21:47:36,38
31,1993-03-15 09:56:02,1994-02-17 21:47:36,38
32,1993-03-15 09:56:02,1994-02-17 21:47:36,38
33,1993-03-15 09:56:02,1994-02-23 21:47:36,39
34,1993-03-15 09:56:02,1994-02-23 21:47:36,39
35,1993-03-15 09:56:02,1994-02-23 21:47:36,39
36,1993-03-15 09:56:02,1994-02-23 21:47:36,39
37,1993-03-15 09:56:02,1994-03-01 21:47:39,41
38,1993-03-15 09:56:02,1994-03-01 21:47:39,41
39,1993-03-15 09:56:02,1994-03-01 21:47:39,41
40,1993-03-15 09:56:02,1994-03-01 21:47:39,41
41,1993-03-15 09:56:02,1994-03-01 21:47:39,41
42,1993-03-15 09:56:02,1994-03-07 21:47:38,42
43,1993-03-15 09:56:02,1994-03-07 21:47:38,42
44,1993-03-15 09:56:02,1994-03-10 21:47:38,43
45,1993-03-15 09:56:02,1994-03-10 21:47:38,43
46,1993-03-15 09:56:02,1994-03-13 21:47:38,44
47,1993-03-15 09:56:02,1994-03-13 21:47:38,44
48,1993-03-22 10:02:12,1994-03-13 21:47:38,43
49,1993-03-22 10:02:12,1994-03-13 21:47:38,43
50,1993-03-22 10:02:12,1994-03-19 21:47:38,44
51,1993-03-22 10:02:12,1994-03-19 21:47:38,44
52,1993-04-16 09:56:13,1994-03-25 21:47:39,45
53,1993-04-16 09:56:13,1994-03-25 21:47:39,45
54,1993-04-16 09:56:13,1994-03-25 21:47:39,45
55,1993-04-16 09:56:13,1994-03-25 21:47:39,45
56,1993-04-16 09:56:13,1994-03-25 21:47:39,45
57,1993-04-16 09:56:13,1994-03-25 21:47:39,45
58,1993-04-23 10:02:27,1994-03-25 21:47:39,44
59,1993-04-23 10:02:27,1994-03-25 21:47:39,44
60,1993-05-07 21:43:21,1994-04-26 09:59:54,43
61,1993-05-18 09:56:20,1994-05-12 09:59:35,42
