ID,Start Time,End Time,# Observations
1,2017-07-03 17:24:28,2017-12-30 17:24:30,74
2,2017-07-07 10:40:22,2018-01-02 05:49:38,73
3,2017-07-09 17:23:39,2018-01-05 17:23:41,73
4,2017-07-12 05:50:27,2018-01-08 05:50:28,72
5,2017-07-15 17:24:29,2018-01-11 17:24:30,72
6,2017-07-18 05:49:37,2018-01-14 05:49:38,72
7,2017-07-21 17:23:40,2018-01-17 17:23:40,72
8,2017-07-24 05:50:27,2018-01-21 10:54:28,71
9,2017-07-27 17:24:29,2018-01-23 17:24:29,71
10,2017-07-30 05:49:37,2018-01-26 05:49:37,71
11,2017-08-01 17:32:36,2018-01-29 17:23:40,71
12,2017-08-06 10:40:21,2018-02-01 05:50:27,71
13,2017-08-08 17:24:30,2018-02-04 17:24:29,71
14,2017-08-14 17:23:41,2018-02-07 05:49:37,71
15,2017-08-14 17:23:41,2018-02-10 17:23:40,72
16,2017-08-17 05:50:29,2018-02-13 05:50:27,73
17,2017-08-20 17:24:31,2018-02-16 17:24:29,73
18,2017-08-24 10:52:40,2018-02-20 10:55:39,72
19,2017-08-26 17:23:41,2018-02-22 17:23:39,72
20,2017-08-29 10:56:33,2018-02-25 10:50:18,72
21,2017-09-01 17:24:31,2018-02-28 17:24:29,72
22,2017-09-04 05:49:39,2018-03-04 10:44:07,71
23,2017-09-07 17:23:42,2018-03-04 10:44:07,70
24,2017-09-07 17:23:42,2018-03-06 17:23:40,71
25,2017-09-10 10:42:12,2018-03-09 05:50:27,71
26,2017-09-13 17:24:31,2018-03-12 17:24:29,71
27,2017-09-19 17:23:42,2018-03-15 05:49:37,72
28,2017-09-19 17:23:42,2018-03-18 17:23:40,73
29,2017-09-23 10:50:22,2018-03-21 05:50:27,72
30,2017-09-25 17:24:32,2018-03-24 17:24:29,72
31,2017-09-28 10:56:19,2018-03-27 05:49:37,72
32,2017-10-01 17:23:43,2018-03-30 17:23:40,72
33,2017-10-04 05:50:30,2018-04-02 05:50:28,71
34,2017-10-07 17:24:32,2018-04-05 17:24:29,71
35,2017-10-10 05:49:40,2018-04-08 10:45:39,72
36,2017-10-13 17:23:43,2018-04-11 17:23:41,72
37,2017-10-16 05:50:31,2018-04-14 05:50:28,71
38,2017-10-19 17:24:32,2018-04-17 17:24:30,71
39,2017-10-23 10:51:54,2018-04-21 10:56:29,71
40,2017-10-25 17:23:43,2018-04-23 17:23:41,71
41,2017-10-28 05:50:31,2018-04-26 10:52:02,71
42,2017-10-31 17:24:32,2018-04-29 17:24:31,71
43,2017-11-04 10:44:39,2018-05-03 10:42:09,72
44,2017-11-06 17:23:43,2018-05-03 10:42:09,71
45,2017-11-06 17:23:43,2018-05-05 17:23:42,72
46,2017-11-09 05:50:30,2018-05-08 10:40:25,72
47,2017-11-12 17:24:32,2018-05-11 17:24:31,72
48,2017-11-15 05:49:40,2018-05-14 05:49:45,71
49,2017-11-24 17:24:32,2018-05-23 17:24:32,71
50,2017-12-03 05:50:30,2018-06-01 05:50:31,72
51,2017-12-06 17:24:31,2018-06-01 05:50:31,71
52,2017-12-15 05:50:29,2018-06-10 10:50:26,70
53,2018-01-02 05:49:38,2018-07-02 10:40:21,70
54,2018-01-05 17:23:41,2018-07-02 10:40:21,69
55,2018-01-05 17:23:41,2018-07-05 10:54:27,71
56,2018-01-08 05:50:28,2018-07-07 10:45:15,71
57,2018-01-11 17:24:30,2018-07-07 10:45:15,70
58,2018-01-11 17:24:30,2018-07-10 17:24:35,71
59,2018-01-14 05:49:38,2018-07-13 05:49:45,72
60,2018-01-17 17:23:40,2018-07-16 17:23:48,72
61,2018-01-21 10:54:28,2018-07-20 10:52:13,73
62,2018-01-21 10:54:28,2018-07-20 10:52:13,73
63,2018-01-23 17:24:29,2018-07-22 17:24:35,73
64,2018-01-26 05:49:37,2018-07-25 10:54:15,73
65,2018-01-29 17:23:40,2018-07-28 17:23:49,73
66,2018-02-01 05:50:27,2018-07-28 17:23:49,72
67,2018-02-04 17:24:29,2018-08-04 10:50:22,74
68,2018-02-07 05:49:37,2018-08-06 10:43:40,73
69,2018-02-10 17:23:40,2018-08-06 10:43:40,72
70,2018-02-13 05:50:27,2018-08-12 05:50:35,73
71,2018-02-16 17:24:29,2018-08-15 17:24:37,73
72,2018-02-20 10:55:39,2018-08-19 10:51:24,73
73,2018-02-20 10:55:39,2018-08-19 10:51:24,73
74,2018-02-22 17:23:39,2018-08-21 17:23:48,73
75,2018-02-25 10:50:18,2018-08-24 10:50:58,73
76,2018-02-28 17:24:29,2018-08-27 17:24:38,73
77,2018-03-04 10:44:07,2018-08-31 10:40:13,73
78,2018-03-06 17:23:40,2018-08-31 10:40:13,72
79,2018-03-06 17:23:40,2018-09-02 17:23:48,73
80,2018-03-09 05:50:27,2018-09-05 10:45:27,73
81,2018-03-12 17:24:29,2018-09-08 17:24:38,73
82,2018-03-15 05:49:37,2018-09-11 05:49:46,72
83,2018-03-21 05:50:27,2018-09-18 10:54:20,72
84,2018-03-24 17:24:29,2018-09-18 10:54:20,71
85,2018-03-24 17:24:29,2018-09-20 17:24:38,72
86,2018-03-27 05:49:37,2018-09-23 05:49:46,72
87,2018-03-30 17:23:40,2018-09-26 17:23:49,72
88,2018-04-02 05:50:28,2018-09-30 10:44:11,72
89,2018-04-05 17:24:29,2018-09-30 10:44:11,71
90,2018-04-05 17:24:29,2018-10-02 17:24:38,72
91,2018-04-08 10:45:39,2018-10-05 10:40:19,72
92,2018-04-11 17:23:41,2018-10-08 17:23:50,72
93,2018-04-14 05:50:28,2018-10-11 05:50:37,73
94,2018-04-17 17:24:30,2018-10-11 05:50:37,72
95,2018-04-17 17:24:30,2018-10-14 17:24:39,73
96,2018-04-21 10:56:29,2018-10-18 10:53:49,73
97,2018-04-21 10:56:29,2018-10-18 10:53:49,73
98,2018-04-23 17:23:41,2018-10-20 17:23:50,73
99,2018-04-26 10:52:02,2018-10-23 05:50:37,73
100,2018-04-29 17:24:31,2018-10-26 17:24:39,73
101,2018-05-03 10:42:09,2018-10-29 05:49:47,72
102,2018-05-05 17:23:42,2018-11-02 10:53:45,73
103,2018-05-08 10:40:25,2018-11-04 10:44:26,72
104,2018-05-11 17:24:31,2018-11-04 10:44:26,71
105,2018-05-11 17:24:31,2018-11-07 17:24:39,72
106,2018-05-14 05:49:45,2018-11-10 05:49:47,72
107,2018-05-17 17:23:42,2018-11-10 05:49:47,71
108,2018-05-17 17:23:42,2018-11-13 17:23:49,72
109,2018-05-21 10:54:16,2018-11-17 10:56:45,71
110,2018-05-21 10:54:16,2018-11-17 10:56:45,71
111,2018-05-23 17:24:32,2018-11-19 17:24:38,71
112,2018-05-26 10:56:35,2018-11-22 10:56:52,71
113,2018-05-29 17:23:43,2018-11-24 17:32:46,71
114,2018-06-01 05:50:31,2018-11-28 05:50:36,70
115,2018-06-04 17:24:32,2018-12-01 17:24:38,70
116,2018-06-07 10:40:22,2018-12-04 05:49:46,70
117,2018-06-10 10:50:26,2018-12-07 17:23:49,70
118,2018-06-16 17:24:33,2018-12-09 10:46:48,70
119,2018-06-16 17:24:33,2018-12-09 10:46:48,70
120,2018-06-16 17:24:33,2018-12-13 17:24:37,71
121,2018-06-20 10:52:11,2018-12-16 05:49:46,71
122,2018-06-20 10:52:11,2018-12-16 05:49:46,71
123,2018-06-22 17:23:58,2018-12-19 17:23:48,71
124,2018-06-25 10:52:53,2018-12-22 05:50:36,71
125,2018-06-28 17:24:34,2018-12-25 17:24:37,71
126,2018-07-02 10:40:21,2018-12-28 05:49:45,70
127,2018-07-04 17:23:59,2018-12-31 17:23:48,70
128,2018-07-07 10:45:15,2019-01-03 05:50:35,69
129,2018-07-10 17:24:35,2019-01-06 17:24:37,69
130,2018-07-13 05:49:45,2019-01-09 05:49:45,68
131,2018-07-16 17:23:48,2019-01-12 17:23:47,68
132,2018-07-20 10:52:13,2019-01-15 05:50:35,67
133,2018-07-22 17:24:35,2019-01-18 17:24:36,67
134,2018-07-25 10:54:15,2019-01-21 10:56:51,67
135,2018-07-28 17:23:49,2019-01-24 17:23:47,67
136,2018-08-01 10:40:18,2019-01-27 05:50:40,67
137,2018-08-03 17:24:36,2019-01-30 17:24:36,67
138,2018-08-06 10:43:40,2019-02-02 05:49:58,66
139,2018-08-09 17:23:47,2019-02-02 05:49:58,65
140,2018-08-09 17:23:47,2019-02-05 17:23:47,66
141,2018-08-12 05:50:35,2019-02-08 05:50:34,66
142,2018-08-15 17:24:37,2019-02-08 05:50:34,65
143,2018-08-15 17:24:37,2019-02-11 17:24:35,66
144,2018-08-19 10:51:24,2019-02-15 10:56:48,67
145,2018-08-21 17:23:48,2019-02-17 17:23:46,67
146,2018-08-24 10:50:58,2019-02-20 05:50:34,67
147,2018-08-27 17:24:38,2019-02-23 17:24:35,67
148,2018-08-31 10:40:13,2019-02-27 10:53:44,68
149,2018-09-02 17:23:48,2019-03-01 17:23:46,68
150,2018-09-05 10:45:27,2019-03-04 05:50:34,68
151,2018-09-08 17:24:38,2019-03-07 17:24:35,68
152,2018-09-11 05:49:46,2019-03-10 05:49:58,68
153,2018-09-14 17:23:49,2019-03-10 05:49:58,67
154,2018-09-14 17:23:49,2019-03-13 17:23:46,68
155,2018-09-18 10:54:20,2019-03-16 05:50:34,68
156,2018-09-20 17:24:38,2019-03-19 17:24:35,68
157,2018-09-23 05:49:46,2019-03-22 11:04:11,68
158,2018-09-26 17:23:49,2019-03-25 17:23:46,68
159,2018-09-30 10:44:11,2019-03-29 10:56:27,68
160,2018-10-02 17:24:38,2019-03-31 17:24:36,68
161,2018-10-05 10:40:19,2019-04-03 05:49:58,68
162,2018-10-08 17:23:50,2019-04-03 05:49:58,67
163,2018-10-08 17:23:50,2019-04-06 17:23:47,68
164,2018-10-11 05:50:37,2019-04-09 05:50:40,68
165,2018-10-14 17:24:39,2019-04-12 17:24:36,68
166,2018-10-18 10:53:49,2019-04-16 10:58:10,67
167,2018-10-18 10:53:49,2019-04-16 10:58:10,67
168,2018-10-20 17:23:50,2019-04-18 17:23:47,67
169,2018-10-23 05:50:37,2019-04-21 11:12:34,67
170,2018-10-26 17:24:39,2019-04-24 17:24:37,67
171,2018-10-29 05:49:47,2019-04-27 05:49:59,68
172,2018-11-01 17:23:50,2019-04-27 05:49:59,67
173,2018-11-01 17:23:50,2019-05-01 10:56:59,69
174,2018-11-04 10:44:26,2019-05-03 05:50:41,68
175,2018-11-07 17:24:39,2019-05-03 05:50:41,67
176,2018-11-07 17:24:39,2019-05-06 17:24:37,68
177,2018-11-10 05:49:47,2019-05-09 05:49:58,68
178,2018-11-13 17:23:49,2019-05-12 17:23:48,68
179,2018-11-17 10:56:45,2019-05-16 10:56:55,69
180,2018-11-17 10:56:45,2019-05-16 10:56:55,69
181,2018-11-19 17:24:38,2019-05-18 17:24:38,69
182,2018-11-22 10:56:52,2019-05-21 05:49:59,69
183,2018-11-24 17:32:46,2019-05-24 17:23:49,69
184,2018-11-28 05:50:36,2019-05-27 05:50:40,69
185,2018-12-01 17:24:38,2019-05-27 05:50:40,68
186,2018-12-01 17:24:38,2019-05-30 17:24:38,69
187,2018-12-04 05:49:46,2019-06-02 10:46:57,69
188,2018-12-07 17:23:49,2019-06-05 17:23:50,69
189,2018-12-13 17:24:37,2019-06-08 05:50:39,69
190,2018-12-16 05:49:46,2019-06-15 10:56:54,70
191,2018-12-19 17:23:48,2019-06-17 17:23:50,70
192,2018-12-22 05:50:36,2019-06-20 05:50:40,70
193,2018-12-25 17:24:37,2019-06-23 17:24:40,70
194,2018-12-28 05:49:45,2019-06-27 10:47:03,71
195,2018-12-31 17:23:48,2019-06-27 10:47:03,70
196,2018-12-31 17:23:48,2019-06-30 10:57:00,72
197,2019-01-03 05:50:35,2019-07-02 10:46:59,72
198,2019-01-06 17:24:37,2019-07-02 10:46:59,71
199,2019-01-06 17:24:37,2019-07-05 17:24:40,72
200,2019-01-09 05:49:45,2019-07-08 05:49:59,73
201,2019-01-12 17:23:47,2019-07-08 05:49:59,72
202,2019-01-12 17:23:47,2019-07-11 17:23:52,73
203,2019-01-15 05:50:35,2019-07-14 05:50:39,73
204,2019-01-18 17:24:36,2019-07-14 05:50:39,72
205,2019-01-18 17:24:36,2019-07-17 17:24:41,73
206,2019-01-21 10:56:51,2019-07-20 10:57:00,73
207,2019-01-24 17:23:47,2019-07-23 17:23:52,73
208,2019-01-27 05:50:40,2019-07-26 05:50:42,74
209,2019-01-30 17:24:36,2019-07-30 10:56:59,75
210,2019-02-02 05:49:58,2019-08-01 10:46:59,75
211,2019-02-05 17:23:47,2019-08-01 10:46:59,74
212,2019-02-05 17:23:47,2019-08-04 17:23:53,75
213,2019-02-08 05:50:34,2019-08-07 05:50:44,74
214,2019-02-11 17:24:35,2019-08-07 05:50:44,73
215,2019-02-11 17:24:35,2019-08-10 17:24:43,74
216,2019-02-15 10:56:48,2019-08-14 10:56:54,73
217,2019-02-17 17:23:46,2019-08-16 17:23:54,73
218,2019-02-20 05:50:34,2019-08-19 10:56:57,73
219,2019-02-23 17:24:35,2019-08-22 17:24:43,73
220,2019-02-27 10:53:44,2019-08-26 10:46:59,73
221,2019-03-01 17:23:46,2019-08-29 10:56:55,74
222,2019-03-04 05:50:34,2019-08-31 10:46:55,74
223,2019-03-07 17:24:35,2019-09-03 17:24:44,74
224,2019-03-10 05:49:58,2019-09-06 05:50:03,75
225,2019-03-13 17:23:46,2019-09-09 17:23:55,75
226,2019-03-16 05:50:34,2019-09-12 05:50:44,76
227,2019-03-19 17:24:35,2019-09-15 17:24:44,76
228,2019-03-22 11:04:11,2019-09-18 10:56:50,76
229,2019-03-25 17:23:46,2019-09-21 17:23:56,76
230,2019-03-29 10:56:27,2019-09-24 05:50:46,76
231,2019-03-31 17:24:36,2019-09-27 17:24:45,76
232,2019-04-03 05:49:58,2019-09-30 10:46:56,75
