ID,Start Time,End Time,# Observations
1,2017-07-09 03:51:09,2017-12-30 03:50:34,49
2,2017-07-13 08:38:29,2018-01-05 03:51:11,49
3,2017-07-18 08:30:09,2018-01-14 08:33:04,50
4,2017-07-23 08:38:46,2018-01-19 08:38:45,50
5,2017-07-27 03:50:33,2018-01-23 03:50:33,50
6,2017-08-02 08:38:01,2018-01-24 08:36:48,49
7,2017-08-08 03:50:34,2018-01-29 08:39:08,49
8,2017-08-12 08:36:33,2018-02-04 03:50:33,49
9,2017-08-17 08:34:46,2018-02-10 03:51:10,48
10,2017-08-17 08:34:46,2018-02-10 03:51:10,48
11,2017-08-22 08:38:08,2018-02-18 08:38:55,48
12,2017-08-26 03:51:12,2018-02-22 03:51:10,48
13,2017-09-01 08:30:09,2018-02-23 08:33:17,47
14,2017-09-07 03:51:12,2018-02-28 08:36:05,47
15,2017-09-11 08:36:28,2018-03-06 03:51:10,47
16,2017-09-19 03:51:13,2018-03-12 03:50:33,47
17,2017-09-19 03:51:13,2018-03-15 08:36:44,48
18,2017-09-21 08:30:04,2018-03-20 08:39:56,49
19,2017-09-25 03:50:36,2018-03-24 03:50:33,49
20,2017-10-01 08:39:43,2018-03-24 03:50:33,47
21,2017-10-07 03:50:36,2018-03-30 08:26:01,47
22,2017-10-11 08:37:35,2018-04-05 03:50:34,47
23,2017-10-16 08:29:54,2018-04-11 03:51:11,47
24,2017-10-16 08:29:54,2018-04-14 08:30:52,48
25,2017-10-21 08:31:29,2018-04-19 08:26:57,48
26,2017-10-25 03:51:13,2018-04-23 03:51:11,48
27,2017-10-31 08:38:14,2018-04-24 08:31:14,47
28,2017-11-06 03:51:13,2018-04-29 08:26:04,47
29,2017-11-10 08:38:56,2018-05-05 03:51:12,47
30,2017-11-15 08:35:13,2018-05-11 03:50:35,47
31,2017-11-24 03:50:36,2018-05-23 03:50:36,49
32,2017-12-06 03:50:35,2018-05-29 08:26:03,49
33,2017-12-15 08:33:33,2018-06-09 15:49:23,50
34,2017-12-24 03:51:11,2018-06-21 15:49:23,52
35,2018-01-05 03:51:11,2018-06-28 08:26:02,51
36,2018-01-09 08:33:19,2018-07-03 15:49:24,51
37,2018-01-14 08:33:04,2018-07-10 03:50:39,51
38,2018-01-14 08:33:04,2018-07-13 08:36:35,52
39,2018-01-17 03:51:11,2018-07-16 03:51:27,52
40,2018-01-19 08:38:45,2018-07-18 08:30:10,52
41,2018-01-23 03:50:33,2018-07-22 03:50:40,52
42,2018-01-29 08:39:08,2018-07-23 08:36:29,51
43,2018-01-29 08:39:08,2018-07-23 08:36:29,51
44,2018-02-04 03:50:33,2018-07-28 08:29:18,51
45,2018-02-10 03:51:10,2018-08-03 03:50:40,51
46,2018-02-16 03:50:33,2018-08-09 03:51:28,52
47,2018-02-16 03:50:33,2018-08-12 08:39:13,53
48,2018-02-16 03:50:33,2018-08-15 03:50:41,54
49,2018-02-18 08:38:55,2018-08-17 08:35:53,54
50,2018-02-22 03:51:10,2018-08-21 03:51:29,54
51,2018-02-28 08:36:05,2018-08-22 08:39:29,53
52,2018-02-28 08:36:05,2018-08-22 08:39:29,53
53,2018-03-06 03:51:10,2018-08-27 08:33:49,53
54,2018-03-10 08:36:23,2018-09-02 03:51:19,53
55,2018-03-15 08:36:44,2018-09-08 03:50:42,53
56,2018-03-15 08:36:44,2018-09-11 08:30:59,54
57,2018-03-20 08:39:56,2018-09-16 08:32:49,54
58,2018-03-24 03:50:33,2018-09-20 03:50:42,54
59,2018-03-30 08:26:01,2018-09-21 08:30:13,54
60,2018-03-30 08:26:01,2018-09-21 08:30:13,54
61,2018-04-05 03:50:34,2018-09-26 08:30:30,54
62,2018-04-09 08:29:24,2018-10-02 03:50:43,54
63,2018-04-14 08:30:52,2018-10-08 03:51:20,54
64,2018-04-14 08:30:52,2018-10-11 08:35:43,55
65,2018-04-17 03:50:34,2018-10-14 03:50:43,55
66,2018-04-19 08:26:57,2018-10-16 08:31:32,55
67,2018-04-23 03:51:11,2018-10-20 03:51:20,55
68,2018-04-29 08:26:04,2018-10-21 08:30:38,54
69,2018-04-29 08:26:04,2018-10-21 08:30:38,54
70,2018-05-05 03:51:12,2018-10-26 08:40:14,54
71,2018-05-09 08:37:04,2018-11-01 03:51:20,54
72,2018-05-14 08:38:20,2018-11-07 03:50:43,53
73,2018-05-14 08:38:20,2018-11-07 03:50:43,53
74,2018-05-17 03:51:12,2018-11-13 03:51:19,53
75,2018-05-19 08:37:10,2018-11-15 08:40:30,53
76,2018-05-29 08:26:03,2018-11-20 08:40:30,52
77,2018-06-04 03:50:36,2018-11-25 08:40:28,52
78,2018-06-08 08:32:39,2018-12-01 03:50:42,52
79,2018-06-13 08:30:20,2018-12-07 03:51:19,51
80,2018-06-16 03:50:37,2018-12-13 03:50:42,51
81,2018-06-18 08:39:22,2018-12-15 08:40:27,51
82,2018-06-28 08:26:02,2018-12-20 08:40:31,50
83,2018-06-28 08:26:02,2018-12-20 08:40:31,50
84,2018-07-03 15:49:24,2018-12-25 08:40:29,50
85,2018-07-08 08:33:41,2018-12-31 03:51:18,50
86,2018-07-13 08:36:35,2019-01-06 03:50:41,50
87,2018-07-13 08:36:35,2019-01-09 08:40:35,51
88,2018-07-16 03:51:27,2019-01-12 03:51:17,51
89,2018-07-18 08:30:10,2019-01-14 08:40:32,51
90,2018-07-22 03:50:40,2019-01-18 03:50:40,51
91,2018-07-28 08:29:18,2019-01-19 08:40:36,50
92,2018-07-28 08:29:18,2019-01-19 08:40:36,50
93,2018-08-03 03:50:40,2019-01-24 03:51:17,50
94,2018-08-07 08:36:04,2019-01-30 03:50:40,50
95,2018-08-12 08:39:13,2019-02-05 03:51:16,50
96,2018-08-17 08:35:53,2019-02-13 08:40:33,50
97,2018-08-21 03:51:29,2019-02-17 03:51:16,50
98,2018-08-27 08:33:49,2019-02-18 08:40:36,49
99,2018-08-27 08:33:49,2019-02-18 08:40:36,49
100,2018-09-02 03:51:19,2019-02-23 08:56:21,49
101,2018-09-06 08:33:48,2019-03-01 03:51:16,49
102,2018-09-11 08:30:59,2019-03-07 03:50:39,49
103,2018-09-11 08:30:59,2019-03-10 08:54:04,50
104,2018-09-14 03:51:19,2019-03-13 03:51:16,50
105,2018-09-16 08:32:49,2019-03-15 08:41:03,50
106,2018-09-20 03:50:42,2019-03-19 03:50:39,50
107,2018-09-26 08:30:30,2019-03-19 03:50:39,48
108,2018-10-02 03:50:43,2019-03-25 08:46:33,48
109,2018-10-06 08:28:24,2019-03-31 03:50:40,48
110,2018-10-11 08:35:43,2019-04-06 03:51:17,48
111,2018-10-11 08:35:43,2019-04-09 08:50:52,49
112,2018-10-14 03:50:43,2019-04-12 03:50:40,49
113,2018-10-16 08:31:32,2019-04-12 03:50:40,48
114,2018-10-20 03:51:20,2019-04-17 15:49:26,48
115,2018-10-26 08:40:14,2019-04-19 08:49:27,47
116,2018-10-26 08:40:14,2019-04-19 08:49:27,47
117,2018-11-01 03:51:20,2019-04-24 08:53:18,47
118,2018-11-07 03:50:43,2019-04-30 03:51:18,47
119,2018-11-13 03:51:19,2019-05-06 03:50:41,48
120,2018-11-13 03:51:19,2019-05-09 08:40:44,49
121,2018-11-13 03:51:19,2019-05-12 03:51:18,50
122,2018-11-15 08:40:30,2019-05-14 08:40:40,50
123,2018-11-19 03:50:43,2019-05-18 03:50:42,50
124,2018-11-25 08:40:28,2019-05-19 08:40:45,49
125,2018-11-25 08:40:28,2019-05-19 08:40:45,49
126,2018-12-01 03:50:42,2019-05-24 03:51:19,49
127,2018-12-07 03:51:19,2019-05-30 03:50:42,49
128,2018-12-13 03:50:42,2019-06-05 03:51:19,50
129,2018-12-13 03:50:42,2019-06-08 08:40:44,51
130,2018-12-13 03:50:42,2019-06-11 03:50:43,52
131,2018-12-15 08:40:27,2019-06-13 08:40:39,52
132,2018-12-19 03:51:18,2019-06-17 03:51:20,52
133,2018-12-25 08:40:29,2019-06-18 08:40:44,51
134,2018-12-25 08:40:29,2019-06-18 08:40:44,51
135,2018-12-31 03:51:18,2019-06-23 08:40:40,51
136,2019-01-04 08:40:30,2019-06-29 03:51:21,51
137,2019-01-09 08:40:35,2019-07-05 03:50:45,51
138,2019-01-09 08:40:35,2019-07-08 08:40:45,52
139,2019-01-12 03:51:17,2019-07-11 03:51:21,52
140,2019-01-14 08:40:32,2019-07-13 08:40:41,52
141,2019-01-18 03:50:40,2019-07-17 03:50:45,52
142,2019-01-24 03:51:17,2019-07-18 08:40:45,51
143,2019-01-24 03:51:17,2019-07-18 08:40:45,51
144,2019-01-30 03:50:40,2019-07-23 08:40:41,51
145,2019-02-03 08:40:33,2019-07-29 03:50:46,51
146,2019-02-11 03:50:40,2019-08-04 03:51:23,51
147,2019-02-11 03:50:40,2019-08-07 08:40:43,52
148,2019-02-11 03:50:40,2019-08-10 03:50:47,53
149,2019-02-13 08:40:33,2019-08-12 08:40:40,53
150,2019-02-17 03:51:16,2019-08-16 03:51:24,53
151,2019-02-23 08:56:21,2019-08-17 08:40:42,52
152,2019-02-23 08:56:21,2019-08-17 08:40:42,52
153,2019-03-01 03:51:16,2019-08-22 08:40:38,52
154,2019-03-05 08:56:43,2019-08-28 03:51:24,52
155,2019-03-10 08:54:04,2019-09-03 03:50:48,52
156,2019-03-10 08:54:04,2019-09-06 08:40:38,53
157,2019-03-13 03:51:16,2019-09-09 03:51:25,53
158,2019-03-15 08:41:03,2019-09-11 08:40:34,53
159,2019-03-19 03:50:39,2019-09-15 03:50:49,53
160,2019-03-25 08:46:33,2019-09-16 08:40:36,53
161,2019-03-25 08:46:33,2019-09-16 08:40:36,53
162,2019-03-31 03:50:40,2019-09-21 08:40:36,53
163,2019-04-04 08:54:49,2019-09-27 03:50:49,53
164,2019-04-09 08:50:52,2019-10-03 03:51:26,53
165,2019-04-09 08:50:52,2019-10-06 08:40:37,54
166,2019-04-12 03:50:40,2019-10-09 03:50:49,54
167,2019-04-17 15:49:26,2019-10-11 08:40:39,54
168,2019-04-17 15:49:26,2019-10-15 03:51:26,55
169,2019-04-24 08:53:18,2019-10-16 08:40:37,54
170,2019-04-24 08:53:18,2019-10-16 08:40:37,54
171,2019-04-30 03:51:18,2019-10-21 08:40:39,54
172,2019-05-04 08:40:40,2019-10-27 03:51:26,54
173,2019-05-09 08:40:44,2019-11-05 08:40:36,55
174,2019-05-14 08:40:40,2019-11-10 08:40:38,55
175,2019-05-18 03:50:42,2019-11-14 03:50:49,55
176,2019-05-24 03:51:19,2019-11-15 08:40:35,54
177,2019-05-24 03:51:19,2019-11-15 08:40:35,54
178,2019-05-30 03:50:42,2019-11-20 08:40:37,54
179,2019-06-03 08:40:38,2019-11-26 03:50:49,54
180,2019-06-08 08:40:44,2019-12-05 08:40:30,55
181,2019-06-13 08:40:39,2019-12-08 03:50:48,54
182,2019-06-17 03:51:20,2019-12-14 03:51:25,54
183,2019-06-23 08:40:40,2019-12-14 03:51:25,52
184,2019-06-23 08:40:40,2019-12-14 03:51:25,52
185,2019-06-29 03:51:21,2019-12-20 08:40:30,52
186,2019-07-03 08:40:41,2019-12-26 03:51:24,52
187,2019-07-08 08:40:45,2020-01-01 03:50:47,51
188,2019-07-08 08:40:45,2020-01-04 08:40:31,52
189,2019-07-11 03:51:21,2020-01-07 03:51:24,52
190,2019-07-13 08:40:41,2020-01-09 08:40:30,52
191,2019-07-17 03:50:45,2020-01-13 03:50:47,52
192,2019-07-23 08:40:41,2020-01-14 08:40:30,51
193,2019-07-23 08:40:41,2020-01-14 08:40:30,51
194,2019-07-29 03:50:46,2020-01-19 08:40:30,51
195,2019-08-02 08:40:41,2020-01-25 03:50:46,51
196,2019-08-07 08:40:43,2020-01-31 03:51:23,51
197,2019-08-07 08:40:43,2020-02-03 08:40:29,52
198,2019-08-12 08:40:40,2020-02-08 08:40:28,52
199,2019-08-16 03:51:24,2020-02-12 03:51:23,52
200,2019-08-22 08:40:38,2020-02-13 08:40:31,51
201,2019-08-22 08:40:38,2020-02-13 08:40:31,51
202,2019-08-28 03:51:24,2020-02-18 08:40:30,51
203,2019-09-01 08:40:36,2020-02-24 03:51:22,51
204,2019-09-06 08:40:38,2020-03-01 03:50:46,50
205,2019-09-06 08:40:38,2020-03-04 08:40:34,51
206,2019-09-09 03:51:25,2020-03-07 03:51:23,51
207,2019-09-11 08:40:34,2020-03-07 03:51:23,50
208,2019-09-15 03:50:49,2020-03-13 03:50:46,50
209,2019-09-21 08:40:36,2020-03-13 03:50:46,48
210,2019-09-27 03:50:49,2020-03-19 08:40:32,48
211,2019-10-01 08:40:38,2020-03-25 03:50:46,48
212,2019-10-06 08:40:37,2020-03-31 03:51:23,48
213,2019-10-06 08:40:37,2020-04-03 08:40:33,49
214,2019-10-09 03:50:49,2020-04-06 03:50:46,49
215,2019-10-11 08:40:39,2020-04-08 08:40:34,49
216,2019-10-21 08:40:39,2020-04-13 08:40:32,48
217,2019-10-21 08:40:39,2020-04-13 08:40:32,48
218,2019-10-27 03:51:26,2020-04-18 08:40:36,48
219,2019-10-31 08:40:39,2020-04-24 03:51:24,48
220,2019-11-05 08:40:36,2020-04-30 03:50:47,48
221,2019-11-05 08:40:36,2020-05-03 08:40:33,49
222,2019-11-08 03:51:26,2020-05-06 03:51:24,49
223,2019-11-10 08:40:38,2020-05-08 08:40:37,49
224,2019-11-14 03:50:49,2020-05-12 03:50:48,49
225,2019-11-20 08:40:37,2020-05-13 08:40:35,48
226,2019-11-20 08:40:37,2020-05-13 08:40:35,48
227,2019-11-26 03:50:49,2020-05-18 08:40:41,48
228,2019-11-30 08:40:35,2020-05-24 03:50:49,48
229,2019-12-05 08:40:30,2020-05-30 03:51:26,48
230,2019-12-05 08:40:30,2020-06-02 08:40:38,49
231,2019-12-08 03:50:48,2020-06-05 03:50:49,49
232,2019-12-14 03:51:25,2020-06-07 08:40:42,49
233,2019-12-14 03:51:25,2020-06-10 15:49:36,50
234,2019-12-20 08:40:30,2020-06-12 08:40:38,50
235,2019-12-20 08:40:30,2020-06-12 08:40:38,50
236,2019-12-26 03:51:24,2020-06-17 08:40:42,50
237,2020-01-01 03:50:47,2020-06-23 03:51:33,50
238,2020-01-04 08:40:31,2020-06-29 03:50:51,51
239,2020-01-04 08:40:31,2020-07-02 08:40:38,52
240,2020-01-07 03:51:24,2020-07-05 03:51:28,52
241,2020-01-09 08:40:30,2020-07-07 08:40:40,52
242,2020-01-13 03:50:47,2020-07-11 03:50:51,52
243,2020-01-19 08:40:30,2020-07-12 08:40:38,51
244,2020-01-19 08:40:30,2020-07-12 08:40:38,51
245,2020-01-25 03:50:46,2020-07-17 08:40:41,51
246,2020-01-29 08:40:29,2020-07-23 03:50:52,51
247,2020-02-03 08:40:29,2020-07-29 03:51:29,51
248,2020-02-03 08:40:29,2020-08-01 08:40:39,52
249,2020-02-06 03:50:46,2020-08-04 03:50:53,52
250,2020-02-08 08:40:28,2020-08-06 08:40:42,52
251,2020-02-12 03:51:23,2020-08-10 03:51:30,52
252,2020-02-18 08:40:30,2020-08-11 08:40:39,51
253,2020-02-18 08:40:30,2020-08-11 08:40:39,51
254,2020-02-24 03:51:22,2020-08-16 08:40:42,51
255,2020-03-01 03:50:46,2020-08-22 03:51:30,51
256,2020-03-04 08:40:34,2020-08-28 03:50:54,52
257,2020-03-04 08:40:34,2020-08-31 08:40:39,53
258,2020-03-07 03:51:23,2020-09-03 03:51:31,53
259,2020-03-13 03:50:46,2020-09-05 08:40:40,53
260,2020-03-13 03:50:46,2020-09-09 03:50:55,54
261,2020-03-19 08:40:32,2020-09-10 08:40:38,54
262,2020-03-19 08:40:32,2020-09-10 08:40:38,54
263,2020-03-25 03:50:46,2020-09-15 08:40:40,54
264,2020-03-29 08:40:32,2020-09-21 03:50:55,54
