ID,Start Time,End Time,# Observations
1,2017-07-03 17:24:53,2017-12-30 17:24:55,89
2,2017-07-06 05:49:11,2018-01-02 05:49:13,89
3,2017-07-09 17:24:04,2018-01-02 05:49:13,88
4,2017-07-09 17:24:04,2018-01-05 17:24:06,89
5,2017-07-12 05:50:02,2018-01-08 05:50:03,89
6,2017-07-15 17:24:54,2018-01-08 05:50:03,88
7,2017-07-15 17:24:54,2018-01-11 17:24:55,89
8,2017-07-18 05:49:12,2018-01-14 05:49:13,89
9,2017-07-21 17:24:05,2018-01-14 05:49:13,88
10,2017-07-21 17:24:05,2018-01-17 17:24:05,89
11,2017-07-25 10:55:20,2018-01-21 10:54:28,89
12,2017-07-25 10:55:20,2018-01-21 10:54:28,89
13,2017-07-27 17:24:54,2018-01-25 05:58:12,90
14,2017-07-30 10:53:52,2018-01-26 10:53:16,89
15,2017-08-01 17:33:01,2018-01-26 10:53:16,88
16,2017-08-01 17:33:01,2018-01-29 17:24:05,89
17,2017-08-05 05:50:03,2018-02-01 05:50:02,89
18,2017-08-08 17:24:55,2018-02-01 05:50:02,88
19,2017-08-08 17:24:55,2018-02-04 17:24:54,89
20,2017-08-14 17:24:06,2018-02-07 05:49:12,89
21,2017-08-14 17:24:06,2018-02-07 05:49:12,89
22,2017-08-14 17:24:06,2018-02-10 17:24:05,90
23,2017-08-17 05:50:04,2018-02-13 05:50:02,90
24,2017-08-20 17:24:56,2018-02-13 05:50:02,89
25,2017-08-20 17:24:56,2018-02-16 17:24:54,90
26,2017-08-24 10:52:40,2018-02-20 10:55:39,90
27,2017-08-24 10:52:40,2018-02-20 10:55:39,90
28,2017-08-26 17:24:06,2018-02-22 17:24:04,90
29,2017-08-29 10:50:21,2018-02-25 10:50:18,90
30,2017-09-01 17:24:56,2018-02-25 10:50:18,89
31,2017-09-01 17:24:56,2018-02-28 17:24:54,90
32,2017-09-04 05:49:14,2018-03-03 05:49:12,90
33,2017-09-07 17:24:07,2018-03-03 05:49:12,89
34,2017-09-07 17:24:07,2018-03-06 17:24:05,90
35,2017-09-10 05:50:05,2018-03-09 05:50:02,90
36,2017-09-13 17:24:56,2018-03-09 05:50:02,89
37,2017-09-13 17:24:56,2018-03-12 17:24:54,90
38,2017-09-19 17:24:07,2018-03-15 05:49:12,90
39,2017-09-19 17:24:07,2018-03-15 05:49:12,90
40,2017-09-19 17:24:07,2018-03-18 17:24:05,91
41,2017-09-23 10:50:22,2018-03-21 05:50:02,91
42,2017-09-23 10:50:22,2018-03-21 05:50:02,91
43,2017-09-25 17:24:57,2018-03-26 05:58:11,92
44,2017-09-28 10:56:19,2018-03-27 05:49:12,91
45,2017-10-01 17:24:08,2018-03-27 05:49:12,90
46,2017-10-01 17:24:08,2018-03-30 17:24:05,91
47,2017-10-04 05:50:05,2018-04-02 05:50:03,91
48,2017-10-07 17:24:57,2018-04-02 05:50:03,90
49,2017-10-07 17:24:57,2018-04-05 17:24:54,91
50,2017-10-10 05:49:15,2018-04-08 05:49:13,91
51,2017-10-13 17:24:08,2018-04-08 05:49:13,90
52,2017-10-13 17:24:08,2018-04-11 17:24:06,91
53,2017-10-16 05:50:06,2018-04-14 05:50:03,91
54,2017-10-19 17:24:57,2018-04-14 05:50:03,90
55,2017-10-19 17:24:57,2018-04-17 17:24:55,91
56,2017-10-23 10:51:54,2018-04-21 10:56:29,91
57,2017-10-23 10:51:54,2018-04-21 10:56:29,91
58,2017-10-25 17:24:08,2018-04-25 05:57:41,92
59,2017-10-28 05:50:06,2018-04-26 10:52:02,91
60,2017-10-31 17:24:57,2018-04-26 10:52:02,90
61,2017-10-31 17:24:57,2018-04-29 17:24:56,91
62,2017-11-03 05:49:15,2018-05-02 05:49:14,91
63,2017-11-06 17:24:08,2018-05-02 05:49:14,90
64,2017-11-06 17:24:08,2018-05-05 17:24:07,91
65,2017-11-09 05:50:05,2018-05-08 05:50:04,91
66,2017-11-12 17:24:57,2018-05-08 05:50:04,90
67,2017-11-12 17:24:57,2018-05-11 17:24:56,91
68,2017-11-15 05:49:15,2018-05-14 05:49:20,91
69,2017-11-24 17:24:57,2018-05-25 05:58:22,92
70,2017-12-06 17:24:56,2018-06-01 05:50:06,90
71,2017-12-12 17:24:07,2018-06-07 05:49:21,90
72,2017-12-15 05:50:04,2018-06-10 10:50:26,89
73,2018-01-02 05:49:13,2018-07-01 05:49:20,89
74,2018-01-05 17:24:06,2018-07-01 05:49:20,88
75,2018-01-05 17:24:06,2018-07-04 17:24:24,89
76,2018-01-08 05:50:03,2018-07-07 05:50:08,89
77,2018-01-11 17:24:55,2018-07-07 05:50:08,88
78,2018-01-11 17:24:55,2018-07-10 17:25:00,89
79,2018-01-14 05:49:13,2018-07-13 05:49:20,89
80,2018-01-17 17:24:05,2018-07-13 05:49:20,88
81,2018-01-17 17:24:05,2018-07-16 17:24:13,89
82,2018-01-21 10:54:28,2018-07-20 10:52:13,89
83,2018-01-21 10:54:28,2018-07-20 10:52:13,89
84,2018-01-23 17:24:54,2018-07-24 05:58:22,90
85,2018-01-26 10:53:16,2018-07-25 10:54:15,89
86,2018-01-29 17:24:05,2018-07-25 10:54:15,88
87,2018-01-29 17:24:05,2018-07-28 17:24:21,89
88,2018-01-31 05:57:40,2018-07-31 05:50:09,90
89,2018-02-04 17:24:54,2018-07-31 05:50:09,88
90,2018-02-04 17:24:54,2018-08-03 17:25:01,89
91,2018-02-07 05:49:12,2018-08-06 05:49:20,89
92,2018-02-10 17:24:05,2018-08-06 05:49:20,88
93,2018-02-13 05:50:02,2018-08-12 05:50:10,89
94,2018-02-16 17:24:54,2018-08-12 05:50:10,88
95,2018-02-16 17:24:54,2018-08-15 17:25:02,89
96,2018-02-20 10:55:39,2018-08-19 10:51:24,89
97,2018-02-20 10:55:39,2018-08-19 10:51:24,89
98,2018-02-22 17:24:04,2018-08-23 05:57:49,90
99,2018-02-25 10:50:18,2018-08-24 10:50:58,89
100,2018-02-28 17:24:54,2018-08-24 10:50:58,88
101,2018-02-28 17:24:54,2018-08-27 17:25:03,89
102,2018-03-03 05:49:12,2018-08-30 05:49:20,88
103,2018-03-06 17:24:05,2018-08-30 05:49:20,87
104,2018-03-06 17:24:05,2018-09-02 17:24:13,88
105,2018-03-09 05:50:02,2018-09-05 05:50:11,88
106,2018-03-12 17:24:54,2018-09-05 05:50:11,87
107,2018-03-12 17:24:54,2018-09-08 17:25:03,88
108,2018-03-15 05:49:12,2018-09-11 05:49:21,88
109,2018-03-18 17:24:05,2018-09-11 05:49:21,87
110,2018-03-21 05:50:02,2018-09-18 10:54:20,88
111,2018-03-24 17:24:54,2018-09-18 10:54:20,87
112,2018-03-24 17:24:54,2018-09-22 05:58:22,89
113,2018-03-27 05:49:12,2018-09-23 05:49:21,88
114,2018-03-30 17:24:05,2018-09-23 05:49:21,87
115,2018-03-30 17:24:05,2018-09-26 17:24:14,88
116,2018-04-02 05:50:03,2018-09-29 05:50:12,88
117,2018-04-05 17:24:54,2018-09-29 05:50:12,87
118,2018-04-05 17:24:54,2018-10-02 17:25:03,88
119,2018-04-08 05:49:13,2018-10-05 05:49:22,88
120,2018-04-11 17:24:06,2018-10-05 05:49:22,87
121,2018-04-11 17:24:06,2018-10-08 17:24:15,88
122,2018-04-14 05:50:03,2018-10-11 05:50:12,88
123,2018-04-17 17:24:55,2018-10-11 05:50:12,87
124,2018-04-17 17:24:55,2018-10-14 17:25:04,88
125,2018-04-21 10:56:29,2018-10-18 10:53:49,88
126,2018-04-21 10:56:29,2018-10-18 10:53:49,88
127,2018-04-23 17:24:06,2018-10-22 05:57:50,89
128,2018-04-26 10:52:02,2018-10-23 10:51:07,88
129,2018-04-29 17:24:56,2018-10-23 10:51:07,87
130,2018-04-29 17:24:56,2018-10-26 17:25:04,88
131,2018-05-02 05:49:14,2018-10-29 05:49:22,88
132,2018-05-05 17:24:07,2018-10-29 05:49:22,87
133,2018-05-05 17:24:07,2018-11-01 17:24:15,88
134,2018-05-08 05:50:04,2018-11-04 05:50:12,88
135,2018-05-11 17:24:56,2018-11-04 05:50:12,87
136,2018-05-11 17:24:56,2018-11-07 17:25:04,88
137,2018-05-14 05:49:20,2018-11-10 05:49:22,88
138,2018-05-17 17:24:07,2018-11-10 05:49:22,87
139,2018-05-17 17:24:07,2018-11-13 17:24:14,88
140,2018-05-21 10:54:16,2018-11-17 10:56:35,88
141,2018-05-21 10:54:16,2018-11-17 10:56:35,88
142,2018-05-23 17:24:57,2018-11-19 17:25:03,88
143,2018-05-26 10:50:23,2018-11-22 05:49:21,88
144,2018-05-29 17:24:08,2018-11-24 17:33:11,88
145,2018-05-29 17:24:08,2018-11-24 17:33:11,88
146,2018-06-01 05:50:06,2018-11-28 05:50:11,88
147,2018-06-04 17:24:57,2018-11-28 05:50:11,87
148,2018-06-04 17:24:57,2018-12-01 17:25:03,88
149,2018-06-07 05:49:21,2018-12-04 05:49:21,88
150,2018-06-10 10:50:26,2018-12-04 05:49:21,87
151,2018-06-10 10:50:26,2018-12-07 17:24:14,88
152,2018-06-16 17:24:58,2018-12-09 05:57:49,88
153,2018-06-16 17:24:58,2018-12-09 05:57:49,88
154,2018-06-16 17:24:58,2018-12-13 17:25:02,89
155,2018-06-20 10:52:11,2018-12-17 10:56:32,89
156,2018-06-20 10:52:11,2018-12-17 10:56:32,89
157,2018-06-22 17:24:23,2018-12-19 17:24:13,89
158,2018-06-25 10:52:53,2018-12-22 10:56:36,89
159,2018-06-28 17:24:59,2018-12-22 10:56:36,88
160,2018-06-28 17:24:59,2018-12-25 17:25:02,89
161,2018-07-01 05:49:20,2018-12-28 05:49:20,89
162,2018-07-04 17:24:24,2018-12-28 05:49:20,88
163,2018-07-04 17:24:24,2018-12-31 17:24:13,89
164,2018-07-07 05:50:08,2019-01-03 05:50:10,89
165,2018-07-10 17:25:00,2019-01-03 05:50:10,88
166,2018-07-10 17:25:00,2019-01-06 17:25:02,89
167,2018-07-13 05:49:20,2019-01-09 05:49:20,89
168,2018-07-16 17:24:13,2019-01-09 05:49:20,88
169,2018-07-16 17:24:13,2019-01-12 17:24:12,89
170,2018-07-20 10:52:13,2019-01-15 05:50:10,89
171,2018-07-20 10:52:13,2019-01-15 05:50:10,89
172,2018-07-22 17:25:00,2019-01-20 05:58:22,90
173,2018-07-25 10:54:15,2019-01-21 10:56:41,89
174,2018-07-28 17:24:21,2019-01-21 10:56:41,88
175,2018-07-28 17:24:21,2019-01-24 17:24:12,89
176,2018-07-31 05:50:09,2019-01-27 05:50:15,89
177,2018-08-03 17:25:01,2019-01-27 05:50:15,88
178,2018-08-03 17:25:01,2019-01-30 17:25:01,89
179,2018-08-06 05:49:20,2019-02-02 05:49:33,88
180,2018-08-09 17:24:12,2019-02-02 05:49:33,87
181,2018-08-09 17:24:12,2019-02-05 17:24:12,88
182,2018-08-12 05:50:10,2019-02-08 05:50:15,87
