ID,Start Time,End Time,# Observations
1,2017-01-01 05:50:05,2017-06-15 10:55:05,52
2,2017-01-04 17:24:23,2017-07-05 10:56:05,53
3,2017-01-07 05:49:26,2017-07-07 10:40:22,53
4,2017-01-10 17:23:37,2017-07-10 10:54:03,54
5,2017-01-13 05:50:05,2017-07-12 05:50:27,54
6,2017-01-16 17:24:23,2017-07-15 17:24:29,54
7,2017-01-19 05:49:25,2017-07-18 05:49:37,54
8,2017-01-22 17:23:36,2017-07-22 10:45:22,55
9,2017-01-26 10:56:12,2017-07-24 05:50:27,55
10,2017-01-28 17:24:23,2017-07-27 17:24:29,55
11,2017-01-31 05:49:25,2017-07-30 05:49:37,55
12,2017-02-03 17:23:36,2017-08-01 17:32:36,55
13,2017-02-06 05:50:04,2017-08-06 10:40:21,55
14,2017-02-09 17:24:23,2017-08-09 10:55:46,56
15,2017-02-12 05:49:25,2017-08-09 10:55:46,55
16,2017-02-15 17:23:36,2017-08-14 17:23:41,55
17,2017-02-18 05:50:04,2017-08-17 05:50:29,55
18,2017-02-21 17:24:22,2017-08-21 10:42:08,56
19,2017-02-24 05:49:25,2017-08-24 10:52:40,56
20,2017-02-27 17:23:36,2017-08-26 17:23:41,56
21,2017-03-02 05:50:04,2017-08-29 10:56:33,56
22,2017-03-05 17:24:22,2017-09-03 10:55:15,57
23,2017-03-07 10:50:19,2017-09-04 05:49:39,57
24,2017-03-08 05:49:25,2017-09-04 05:49:39,56
25,2017-03-11 17:23:36,2017-09-07 17:23:42,56
26,2017-03-14 10:44:11,2017-09-10 10:42:12,56
27,2017-03-17 17:24:23,2017-09-13 17:24:31,56
28,2017-03-20 05:49:25,2017-09-13 17:24:31,55
29,2017-03-23 17:23:36,2017-09-20 10:46:22,56
30,2017-03-27 10:50:21,2017-09-23 10:50:22,56
31,2017-03-29 17:24:23,2017-09-25 17:24:32,56
32,2017-04-01 05:49:25,2017-09-28 10:56:19,56
33,2017-04-04 17:23:37,2017-10-03 10:50:24,57
34,2017-04-07 05:50:05,2017-10-04 05:50:30,57
35,2017-04-10 17:24:23,2017-10-07 17:24:32,57
36,2017-04-13 05:49:26,2017-10-10 05:49:40,57
37,2017-04-16 17:23:37,2017-10-15 10:45:25,58
38,2017-04-19 05:50:05,2017-10-16 05:50:31,58
39,2017-04-22 17:24:24,2017-10-20 10:43:23,59
40,2017-04-26 10:53:21,2017-10-23 10:51:54,59
41,2017-04-28 17:23:37,2017-10-25 17:23:43,59
42,2017-05-01 05:50:06,2017-10-28 05:50:31,59
43,2017-05-04 17:24:25,2017-10-31 17:24:32,59
44,2017-05-06 10:50:29,2017-11-04 10:44:39,59
45,2017-05-07 05:49:27,2017-11-04 10:44:39,58
46,2017-05-10 17:23:38,2017-11-07 10:52:25,59
47,2017-05-13 10:42:49,2017-11-09 05:50:30,59
48,2017-05-16 10:53:22,2017-11-14 10:42:57,60
49,2017-05-26 10:55:18,2017-11-22 10:56:12,63
50,2017-06-02 10:42:12,2017-11-30 17:23:42,65
51,2017-06-05 10:53:03,2017-12-03 05:50:30,65
52,2017-06-15 10:55:05,2017-12-14 10:44:28,68
53,2017-07-03 17:24:28,2017-12-30 17:24:30,74
54,2017-07-05 10:56:05,2018-01-02 05:49:38,74
55,2017-07-07 10:40:22,2018-01-02 05:49:38,73
56,2017-07-09 17:23:39,2018-01-05 17:23:41,73
57,2017-07-10 10:54:03,2018-01-08 05:50:28,73
58,2017-07-12 05:50:27,2018-01-08 05:50:28,72
59,2017-07-15 17:24:29,2018-01-11 17:24:30,72
60,2017-07-18 05:49:37,2018-01-14 05:49:38,72
61,2017-07-21 17:23:40,2018-01-17 17:23:40,72
62,2017-07-22 10:45:22,2018-01-17 17:23:40,71
63,2017-07-24 05:50:27,2018-01-21 10:54:28,71
64,2017-07-27 17:24:29,2018-01-23 17:24:29,71
65,2017-07-30 05:49:37,2018-01-26 05:49:37,71
66,2017-08-01 17:32:36,2018-01-29 17:23:40,71
67,2017-08-06 10:40:21,2018-02-01 05:50:27,71
68,2017-08-08 17:24:30,2018-02-05 10:53:34,72
69,2017-08-09 10:55:46,2018-02-07 05:49:37,72
70,2017-08-14 17:23:41,2018-02-12 10:41:37,73
71,2017-08-17 05:50:29,2018-02-13 05:50:27,73
72,2017-08-20 17:24:31,2018-02-16 17:24:29,73
73,2017-08-21 10:42:08,2018-02-16 17:24:29,72
74,2017-08-24 10:52:40,2018-02-20 10:55:39,72
75,2017-08-26 17:23:41,2018-02-22 17:23:39,72
76,2017-08-29 10:56:33,2018-02-25 10:50:18,72
77,2017-09-01 17:24:31,2018-02-28 17:24:29,72
78,2017-09-03 10:55:15,2018-03-04 10:44:07,72
79,2017-09-04 05:49:39,2018-03-04 10:44:07,71
80,2017-09-07 17:23:42,2018-03-06 17:23:40,71
81,2017-09-10 10:42:12,2018-03-09 05:50:27,71
82,2017-09-13 17:24:31,2018-03-14 10:40:14,72
83,2017-09-19 17:23:42,2018-03-18 17:23:40,73
84,2017-09-20 10:46:22,2018-03-21 05:50:27,73
85,2017-09-23 10:50:22,2018-03-21 05:50:27,72
86,2017-09-25 17:24:32,2018-03-24 17:24:29,72
87,2017-09-28 10:56:19,2018-03-27 05:49:37,72
88,2017-10-01 17:23:43,2018-03-30 17:23:40,72
89,2017-10-03 10:50:24,2018-04-02 05:50:28,72
90,2017-10-04 05:50:30,2018-04-02 05:50:28,71
91,2017-10-07 17:24:32,2018-04-06 10:53:31,72
92,2017-10-10 05:49:40,2018-04-08 10:45:39,72
93,2017-10-13 17:23:43,2018-04-11 17:23:41,72
94,2017-10-15 10:45:25,2018-04-14 05:50:28,72
95,2017-10-16 05:50:31,2018-04-14 05:50:28,71
96,2017-10-19 17:24:32,2018-04-18 10:45:12,72
97,2017-10-20 10:43:23,2018-04-18 10:45:12,71
98,2017-10-23 10:51:54,2018-04-21 10:56:29,71
99,2017-10-25 17:23:43,2018-04-23 17:23:41,71
100,2017-10-28 05:50:31,2018-04-26 10:52:02,71
101,2017-10-31 17:24:32,2018-05-01 10:50:29,72
102,2017-11-04 10:44:39,2018-05-03 10:42:09,72
103,2017-11-06 17:23:43,2018-05-06 10:54:23,73
104,2017-11-07 10:52:25,2018-05-08 10:40:25,73
105,2017-11-09 05:50:30,2018-05-08 10:40:25,72
106,2017-11-12 17:24:32,2018-05-11 17:24:31,72
107,2017-11-14 10:42:57,2018-05-14 05:49:45,72
108,2017-11-15 05:49:40,2018-05-14 05:49:45,71
109,2017-11-18 17:23:42,2018-05-18 10:40:24,72
110,2017-11-19 10:43:28,2018-05-18 10:40:24,71
111,2017-11-22 10:56:12,2018-05-21 10:54:16,71
112,2017-11-24 17:24:32,2018-05-23 17:24:32,71
113,2017-11-27 05:49:40,2018-05-26 10:56:35,71
114,2017-11-30 17:23:42,2018-05-31 10:52:56,72
115,2017-12-03 05:50:30,2018-06-01 05:50:31,72
116,2017-12-06 17:24:31,2018-06-04 17:24:32,72
117,2017-12-09 05:49:39,2018-06-07 10:40:22,72
118,2017-12-12 17:23:42,2018-06-10 10:50:26,72
119,2017-12-14 10:44:28,2018-06-10 10:50:26,71
120,2017-12-15 05:50:29,2018-06-10 10:50:26,70
121,2017-12-18 17:24:31,2018-06-16 17:24:33,70
122,2017-12-19 10:44:38,2018-06-16 17:24:33,69
123,2017-12-21 05:49:39,2018-06-20 10:52:11,69
124,2017-12-24 17:23:41,2018-06-22 17:23:58,69
